Kanji Frequency Count,Unique Word Count,Kanji,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6
118953,30,血,血,吸血鬼,血液,血の気,出血,血管
118486,19,京,東京,京都,京,京子,上京,京介
118112,21,判,判る,判断,評判,判事,裁判,批判
117970,43,官,官,警官,長官,士官,警察官,官僚
117070,42,寄,寄る,寄せる,近寄る,駆け寄る,年寄り,歩み寄る
116901,28,町,町,下町,町人,町内,歌舞伎町,深町
116780,38,座,座る,座,座敷,銀座,座席,即座
116503,28,果,結果,効果,果たす,果てる,果て,果たして
116444,39,花,花,花鶏,花嫁,火花,花火,梨花
115993,45,古,古い,古,古代,稽古,古墳,名古屋
115374,25,逃,逃げる,逃げ出す,逃れる,逃がす,逃亡,見逃す
114758,22,可,可能,不可能,可愛い,許可,可,不可解
114364,25,読,読む,読者,読める,読書,読み,解読
114054,11,氏,氏,源氏,彼氏,氏族,氏名,源氏物語
113614,51,有,有名,有,所有,有る,有利,有様
113409,21,活,生活,活動,活躍,復活,快活,活字
113237,38,押,押す,押さえる,押しつける,押える,押し寄せる,押し込む
113183,37,良,良い,良,不良,良心,奈良,善良
113159,36,役,役,役人,役に立つ,役目,役割,役者
113114,35,絶,絶対,絶望,絶える,絶叫,絶えず,拒絶
112939,43,利,利用,勝利,権利,利く,利益,利
112867,28,浮,浮かぶ,浮かべる,浮く,浮気,浮ぶ,浮かび上がる
112656,24,告,報告,告げる,告白,広告,忠告,被告
112080,9,係,関係,係,無関係,係長,係員,係り
111734,43,転,運転,転がる,回転,自転車,転ぶ,転じる
111560,20,段,階段,手段,段,段階,普段,値段
111306,24,客,客,お客,乗客,観客,客間,客観
111088,27,紙,手紙,紙,用紙,表紙,紙袋,紙片
111032,22,画,映画,計画,画,画面,画家,企画
111010,29,病,病院,病気,病,病人,病室,臆病
110850,26,守,守る,守,留守,見守る,守護,看守
110849,39,藤,加藤,藤,佐藤,伊藤,内藤,藤原
110148,22,鳴,鳴る,悲鳴,鳴らす,怒鳴る,鳴く,鳴き声
110120,35,寝,寝る,寝室,寝台,寝床,寝そべる,寝かせる
109581,11,胸,胸,度胸,胸元,胸中,胸騒ぎ,胸部
108783,46,抜,抜ける,抜く,抜き,抜け出す,見抜く,引き抜く
107432,31,勢,勢い,姿勢,大勢,勢,勢力,軍勢
107172,25,報,情報,報告,電報,報道,報,報酬
106644,32,望,望む,希望,絶望,望み,欲望,失望
106321,18,頼,頼む,信頼,依頼,頼り,頼る,頼み
106246,41,城,城,結城,城内,新城,城壁,城下
106025,26,貴,貴族,貴方,志貴,貴様,兄貴,貴
106020,29,応,反応,一応,応じる,応える,対応,応援
106013,23,計,計画,時計,計算,余計,設計,腕時計
105508,19,飲,飲む,飲み込む,飲み干す,飲める,飲み物,飲み屋
104798,31,品,品,作品,商品,品物,上品,製品
104603,26,住,住む,住所,住宅,住民,住人,住居
104461,20,察,警察,観察,察す,警察官,偵察,診察
104397,22,友,友人,友達,友だち,友,親友,友情
103849,23,議,不思議,会議,議論,抗議,議員,議会
103736,22,術,技術,魔術,術,芸術,手術,美術
103573,12,腕,腕,腕時計,右腕,左腕,腕組み,片腕
103495,42,佐,佐,佐藤,少佐,大佐,佐々木,佐伯
103357,28,服,服,制服,服装,衣服,洋服,服部
103350,28,静,静か,冷静,静,静寂,平静,静子
102903,33,期,期待,時期,期,期間,初期,予期
102757,27,特,特に,特別,特殊,特徴,独特,特定
102653,26,暗,暗い,暗闇,薄暗い,暗黒,暗殺,暗がり
102338,22,去,去る,過去,去年,立ち去る,消え去る,走り去る
102044,27,組,組,組む,組織,番組,組合,腕組み
101766,36,武,武器,武士,武,武蔵,武田,武装
101597,18,敵,敵,素敵,敵意,不敵,匹敵,敵対
101158,20,族,家族,貴族,族,一族,民族,種族
100692,39,路,道路,路,通路,路地,路上,線路
100075,52,西,西,西洋,西郷,東西,関西,大西
99561,45,義,主義,義,義務,正義,義理,講義
99144,31,細,細い,細かい,細める,細胞,細君,細工
99019,15,兄,兄,兄さん,兄弟,兄貴,兄ちゃん,兄妹
98874,27,送,送る,見送る,放送,輸送,送り出す,見送り
